effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,X_i,45.98865800417493,26.325058000689054,1.7469537200248972,52.635316287284155,0.08647833992515332
ran_pars,subj_id,sd__(Intercept),99.46113590529116,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.00824275877193008,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.320293647035435,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),89.4874945903238,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.2525012383727,NA,NA,NA,NA
fixed,NA,(Intercept),794.1472025601985,15.698088159942126,50.5887847277274,121.19729466602375,2.407420739481995e-83
fixed,NA,X_i,36.945062938317406,23.34499728796253,1.5825687397859551,52.97911903505642,0.11947191153118476
ran_pars,subj_id,sd__(Intercept),107.08163777754683,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.33852906601010935,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.341583379265664,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.70449413077829,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.45972460982898,NA,NA,NA,NA
fixed,NA,(Intercept),787.0256875878421,15.16086975297235,51.9116449393375,98.59425607568392,2.0804131764081228e-73
fixed,NA,X_i,56.43765813745424,25.207334678106065,2.238937946361834,54.658967622316105,0.029251010704343137
ran_pars,subj_id,sd__(Intercept),88.61578267916737,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.13273669546541922,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,54.87450455476671,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.60413475656634,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.07931499822516,NA,NA,NA,NA
fixed,NA,(Intercept),790.7850286231952,15.282945517727443,51.7429724332868,106.1666517085645,3.908611260080942e-77
fixed,NA,X_i,78.89098528811182,24.48242561320841,3.222351679302139,53.547942724139276,0.0021655244502673384
ran_pars,subj_id,sd__(Intercept),94.50945302570202,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-6.304425483477196e-4,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,47.32540286534354,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.5437339056972,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.73352802907422,NA,NA,NA,NA
fixed,NA,(Intercept),812.4179049602459,15.350498019918817,52.92453078108944,112.08976535552819,3.9163775935735365e-81
fixed,NA,X_i,64.54734475917436,23.675735860346126,2.726307859654873,51.35356162948043,0.008739929143212376
ran_pars,subj_id,sd__(Intercept),98.89809851609301,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-5.490598272291143e-4,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,30.36884307084162,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.53258017502085,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.48847567086844,NA,NA,NA,NA
fixed,NA,(Intercept),795.1280530509935,14.646001474763585,54.2897701069519,131.68502670252508,5.2485551072319056e-92
fixed,NA,X_i,25.187175147568247,20.299012611868235,1.2408078968748484,54.30551931090074,0.22001046316893752
ran_pars,subj_id,sd__(Intercept),107.88188342916166,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.4237561591417191,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.236305350535815,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),67.21706418228604,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.9476723753927,NA,NA,NA,NA
fixed,NA,(Intercept),798.8842356880979,16.435942710234198,48.605927251781864,97.5732571545991,3.4219916285636786e-70
fixed,NA,X_i,21.145108467786113,27.098173331619602,0.7803149020053269,51.78389757667593,0.43875790009407645
