effect,group,term,estimate,std.error,statistic,df,p.value,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
ran_pars,item_id,sd__(Intercept),98.0867017554546,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.07981430623926,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
fixed,NA,(Intercept),785.8302846478548,13.493204826446663,58.23896507578604,88.23965588020184,3.3244752421849574e-72,,100,25,800,60,100,80,40,0.2,200
fixed,NA,cat,10.501527851956364,23.3153781035127,0.450412075898276,54.18764781584591,0.6542103362460292,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),72.11996895396469,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.2999543425169271,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,48.36542880285426,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),78.1502506002493,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.80196039783195,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
fixed,NA,(Intercept),803.8036485064836,17.575177683441,45.73516484352884,83.41593718003497,7.586501776608414e-61,,100,25,800,70,100,80,40,0.2,200
fixed,NA,cat,82.2598915842574,30.652118402988208,2.6836608975201552,51.59079647078992,0.009764266488360436,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),88.29662814713879,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.36599983562177074,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,39.82042423063835,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),105.58579867211591,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.45811036845367,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
fixed,NA,(Intercept),777.2496711731375,16.503953007319176,47.09475789396896,82.91642379820692,1.3024298787891034e-61,,100,25,800,80,100,80,40,0.2,200
fixed,NA,cat,63.61349530357161,28.93402949827238,2.1985702097721957,52.35036560129919,0.0323513017704456,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.57999855880756,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.2703739285792982,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,45.204479883141474,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),99.01290294357908,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.42994144056513,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
fixed,NA,(Intercept),803.6306913477573,15.62215718232656,51.44172357047524,85.36242145651705,5.01230722097292e-66,,100,25,800,90,100,80,40,0.2,200
fixed,NA,cat,100.30686026537958,26.775083310264293,3.7462763085755446,49.93396087062457,4.6588551255160243e-4,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),80.53066728719526,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,1,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,3.247169585124054,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),92.52876507373004,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.60541038144757,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
fixed,NA,(Intercept),818.487954571354,17.31585258163356,47.26812905761864,76.28474569832976,2.930061433304528e-58,,100,25,800,100,100,80,40,0.2,200
fixed,NA,cat,127.23030078413095,30.930809480529476,4.113384128023571,50.71746966459099,1.4306852208511602e-4,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),79.10757659461667,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.23202337153998973,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,27.71338953015125,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),107.01945934300603,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,202.42739835182334,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),757.8889366964451,16.344953450272232,46.36837535219913,90.10646998520764,1.1467921748384254e-64,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,6.511604066414445,27.59689730224752,0.2359542087321582,50.56788306265126,0.8144212806898392,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),88.39246660235986,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.1395428041022169,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,23.426168330463117,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.11887700969648,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.91299733138152,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),799.1503472677987,17.19043222536674,46.488089234228056,78.22072876207817,9.66790964609848e-59,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,9.468409882039913,30.53579190508014,0.3100757927442086,51.13971078911966,0.7577634385337971,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),80.7873628020659,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.6742453002543516,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,33.8447432126126,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),105.452618420574,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.98845388974186,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),740.9338158671808,17.33388997851859,42.74480897163877,83.94878140849863,9.504572729398282e-59,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,57.88382349267665,30.07944395214885,1.9243648115556828,51.01277353667916,0.059895507123293015,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),87.63780027354586,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.298557341939599,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,31.832911887762613,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),103.88590329351506,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.66491035696447,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
fixed,NA,(Intercept),817.0933645996553,17.359356227220644,47.06933563114499,79.11348173215923,1.2840724654706804e-59,,100,25,800,30,100,80,40,0.2,200
fixed,NA,cat,18.427859430697985,30.705613848637235,0.6001462638570844,50.99610976255172,0.5510664861762968,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.58075207586455,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.11575521702232933,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,31.982732628807987,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),106.1427768285858,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.8087590546657,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
fixed,NA,(Intercept),771.4391523770724,16.0206110198892,48.15291697796979,75.10413060819118,3.255916081163095e-58,,100,25,800,40,100,80,40,0.2,200
fixed,NA,cat,3.732119927904997,28.810865780244566,0.1295386246415437,51.1892271419304,0.8974391377903066,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),71.97917426964308,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.36665555297501706,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,32.65905440538256,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),99.17277451610693,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.8065665522009,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
fixed,NA,(Intercept),786.0062468004453,18.241644048380433,43.08856398665613,70.005947835212325,3.918589372804044e-52,,100,25,800,50,100,80,40,0.2,200
fixed,NA,cat,94.16989772261867,33.672212370309424,2.796664997446181,52.084816111578306,0.007216944397552921,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),74.36235361613157,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.2636241956213473,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,48.96729620160177,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),116.14078872061006,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,196.03985744734632,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
fixed,NA,(Intercept),776.1864256241454,16.4494179619827,47.18625470019908,85.46936130504248,5.482956589766736e-63,,100,25,800,60,100,80,40,0.2,200
fixed,NA,cat,25.25441825337878,28.50792743876684,0.885873527902848,52.05093917069835,0.3797601855924865,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),84.73062896409638,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.25617998094972805,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,41.88042632109737,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),97.70965599172789,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.07850667101116,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
fixed,NA,(Intercept),789.4768649789696,15.729998221599883,50.189253288972886,90.34274234916558,8.944415744599483e-68,,100,25,800,70,100,80,40,0.2,200
fixed,NA,cat,115.20448657513215,26.795442696892025,4.299405980274944,52.57796975756668,7.446363007759326e-5,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),85.31533581914822,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.17346356725695403,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,44.059770940908386,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),91.33430605891006,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,197.56858969659908,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
fixed,NA,(Intercept),775.7031269088955,16.884463066788683,45.94182970702125,79.03366016050107,8.98801379180603e-59,,100,25,800,80,100,80,40,0.2,200
fixed,NA,cat,70.2179686234906,30.00056429490586,2.3405549286755822,51.892372996582424,0.02313442026158041,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),80.32029998132708,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.07328342813356173,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,42.12779291822455,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),103.06201001020256,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.69319542236673,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
fixed,NA,(Intercept),800.7570733803117,15.508508094986253,51.633404610930214,87.39353598061113,2.8972711114846856e-67,,100,25,800,90,100,80,40,0.2,200
fixed,NA,cat,75.8258622527202,26.560121856181418,2.8548762939908356,51.36394833053704,0.006195704153765581,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),81.74522499306407,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.10297757679499356,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,32.67422845751818,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),90.98985560569646,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.34458991610083,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
fixed,NA,(Intercept),821.877665197863,15.481974157906956,53.08610238043277,89.64715341632888,1.5905736698143627e-69,,100,25,800,100,100,80,40,0.2,200
fixed,NA,cat,124.2519288074844,26.40529100556256,4.705569379307708,52.364813353953004,1.890330599347841e-5,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),83.52077801469166,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.15366836501200126,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,41.83552580193774,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),89.92351993802416,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,202.60221449214922,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),803.9016786503702,16.10652918638052,49.91154018024811,91.932752400275,2.1707522036855197e-68,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,46.9991975532109,27.06158016211852,1.7367499337308305,51.10418688933613,0.08845625728362083,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),88.69019946977285,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.13341513311190248,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,30.473021549640528,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),92.87599605578153,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,202.9994426688418,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),814.9824706877168,16.066837904744038,50.72450942242206,83.59972277910045,1.4388679237229524e-64,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,38.79789586574016,27.864463496555018,1.392379073458094,50.78252664005611,0.16987494417857668,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),81.1194333953906,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.33050672326286207,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,26.588914790041212,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.96473412883454,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.9288437176542,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
