effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,X_e,0.8331679785023223,0.16793302234530663,4.961311163620628,7.001892035134127e-7
fixed,NA,X_c,0.806744456070904,0.315868466915387,2.554051893654234,0.010647738597553408
fixed,NA,X_e:X_c,0.19098330935190205,0.31383018206145086,0.6085562201104856,0.5428186307003758
ran_pars,subj_id,sd__(Intercept),1.1202361379875954,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.18491323592657413,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.23852940119675042,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.02373971216205382,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.7795939064921338,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.07591859747977993,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.12863676485462316,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.8775230462701435,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.19069798835799506,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.0015986778543025,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0564068858565023,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.29504994853309174,NA,NA,NA
ran_pars,item_id,sd__X_e,0.9831075896786636,NA,NA,NA
fixed,NA,(Intercept),0.20221233916255088,0.17104157755019894,1.1822408449384398,0.2371101500987034
fixed,NA,X_e,0.6289189419686627,0.16144615551417224,3.8955337150376077,9.798273067949785e-5
fixed,NA,X_c,0.6626715403293496,0.28989584790821316,2.285895245174966,0.022260387690340496
fixed,NA,X_e:X_c,-0.06642373263251132,0.2887222451562074,-0.23006101451093275,0.8180443582854559
ran_pars,subj_id,sd__(Intercept),1.0194071125673343,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.13176388221572286,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.09035620632698892,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.024063888016541444,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.9655240040510208,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.1919863432496401,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.14981087354604963,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.9287055427996165,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.23498199753407528,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.2844552699362115,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9537352381681334,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.1605119180929466,NA,NA,NA
ran_pars,item_id,sd__X_e,0.8387246569645459,NA,NA,NA
