effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
ran_pars,item_id,sd__(Intercept),103.93101647064802,NA,NA,NA,NA,,50,10,10,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.76471367046315,NA,NA,NA,NA,,50,10,10,800,50,100,80,40,0.2,200
fixed,NA,(Intercept),820.7284510355174,26.87911485486667,30.534057965339517,38.766249883690335,1.0001124146778569e-28,,50,10,10,800,50,100,100,40,0.2,200
fixed,NA,X_i,7.001428975452794,44.75355771459018,0.15644407580070996,21.051018438436486,0.8771736368665547,,50,10,10,800,50,100,100,40,0.2,200
ran_pars,subj_id,sd__(Intercept),108.91113921104467,NA,NA,NA,NA,,50,10,10,800,50,100,100,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.08262715647945466,NA,NA,NA,NA,,50,10,10,800,50,100,100,40,0.2,200
ran_pars,subj_id,sd__X_i,55.61679877906341,NA,NA,NA,NA,,50,10,10,800,50,100,100,40,0.2,200
ran_pars,item_id,sd__(Intercept),94.32083939320583,NA,NA,NA,NA,,50,10,10,800,50,100,100,40,0.2,200
ran_pars,Residual,sd__Observation,201.07971877889784,NA,NA,NA,NA,,50,10,10,800,50,100,100,40,0.2,200
fixed,NA,(Intercept),806.3420875653356,7.36159029735164,109.53368158173924,19.112266785586186,3.2607943787474844e-28,,50,10,10,800,50,20,20,40,0.2,200
fixed,NA,X_i,59.770672485489996,14.25741856325846,4.192250667278559,17.538364519261677,5.75725493228103e-4,,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),21.768399393636027,NA,NA,NA,NA,,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.9242061017964303,NA,NA,NA,NA,,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__X_i,34.936366608856076,NA,NA,NA,NA,,50,10,10,800,50,20,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),10.292413913755762,NA,NA,NA,NA,,50,10,10,800,50,20,20,40,0.2,200
ran_pars,Residual,sd__Observation,198.54233365768897,NA,NA,NA,NA,,50,10,10,800,50,20,20,40,0.2,200
fixed,NA,(Intercept),803.1918293464948,11.353939005605445,70.74124926599998,22.04399723013965,1.7249265749164328e-27,,50,10,10,800,50,20,40,40,0.2,200
fixed,NA,X_i,48.60053452635541,22.73531572337658,2.1376670162703775,22.13022304081489,0.04383689075975654,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),23.988802525870906,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.051888224984957376,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__X_i,48.62297245109554,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),38.931244103046815,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,Residual,sd__Observation,204.01124880739582,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
fixed,NA,(Intercept),802.9611747711051,8.09608178754107,99.17898507482583,53.23296572944297,4.416416274875951e-62,,50,10,10,800,50,20,60,40,0.2,200
fixed,NA,X_i,16.176358885447275,13.70116922391511,1.1806553602163947,202.68600634639134,0.23912330952328978,,50,10,10,800,50,20,60,40,0.2,200
ran_pars,subj_id,sd__(Intercept),32.808239192626885,NA,NA,NA,NA,,50,10,10,800,50,20,60,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,1,NA,NA,NA,NA,,50,10,10,800,50,20,60,40,0.2,200
ran_pars,subj_id,sd__X_i,24.13122621603724,NA,NA,NA,NA,,50,10,10,800,50,20,60,40,0.2,200
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA,,50,10,10,800,50,20,60,40,0.2,200
ran_pars,Residual,sd__Observation,209.80688533063406,NA,NA,NA,NA,,50,10,10,800,50,20,60,40,0.2,200
fixed,NA,(Intercept),779.3788741451482,13.160013208809358,59.22325926112515,50.00044128540483,5.608825956951798e-48,,50,10,10,800,50,20,80,40,0.2,200
fixed,NA,X_i,43.56798716154042,13.460465902503774,3.236736935935952,50.02141160705955,0.0021476788296705142,,50,10,10,800,50,20,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),81.38882727940135,NA,NA,NA,NA,,50,10,10,800,50,20,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.6151810637042247,NA,NA,NA,NA,,50,10,10,800,50,20,80,40,0.2,200
ran_pars,subj_id,sd__X_i,30.30812445667107,NA,NA,NA,NA,,50,10,10,800,50,20,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA,,50,10,10,800,50,20,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.7501512706034,NA,NA,NA,NA,,50,10,10,800,50,20,80,40,0.2,200
fixed,NA,(Intercept),793.034650751727,15.752559975095481,50.343223704940705,51.243133886964905,2.6133838523438288e-45,,50,10,10,800,50,20,100,40,0.2,200
fixed,NA,X_i,28.43264198028448,18.785394530903858,1.5135504305491125,21.325141565087275,0.14482069120001637,,50,10,10,800,50,20,100,40,0.2,200
