effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma,n_outgroup
ran_pars,subj_id,cor__(Intercept).X_i,0.24093863125880513,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,30.682037994799547,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),104.34617819142939,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,193.94681390694996,NA,NA,NA,NA,,40,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),798.70574048691,16.590428616694204,48.142562132674996,57.152073560814515,5.933303951597467e-48,,40,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,79.5753426515754,29.396879650918716,2.706931606228775,41.29126474934906,0.009831377267613364,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),86.4681547372006,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),50.405202347631715,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,1.0000000000000002,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,26.28740294412537,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,199.22516508340343,NA,NA,NA,NA,,40,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),807.8697284832107,19.397931650454456,41.647209766526004,80.35462564988309,3.668416805544001e-56,,40,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,132.49231317231656,30.226081598121674,4.383377075927366,51.94951374318635,5.7101046926754794e-5,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),100.47560153406856,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),78.66026405015933,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,-0.08278651254379811,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,33.00952199445917,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,198.42829300289512,NA,NA,NA,NA,,40,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),782.1167482317524,30.687854794015553,25.486198154987136,28.18416019091761,5.2455759032918805e-21,,50,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,184.0323850900866,56.5104127993543,3.256610171005323,20.762368993360997,0.0038131445738565613,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),89.32389991429875,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,0.17503679749790005,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,56.898925732981866,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),122.14181140683952,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,190.36319301105397,NA,NA,NA,NA,,50,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),802.7916457067122,20.57647391286323,39.01502507700569,44.69185812727584,3.6337219500749275e-36,,50,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,103.9794950608857,38.10174061572641,2.7289959298596553,34.691269130234176,0.009905891116282109,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),66.71540684256142,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.043781504879518304,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,75.58212884492323,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),96.22590679182964,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,196.43649312069508,NA,NA,NA,NA,,50,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),803.1404861961865,23.69430453887856,33.89592992182411,66.29217966232622,1.3533692687888909e-43,,50,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,121.6652861318278,40.697786888508745,2.9894816262399933,41.48603409285243,0.004682396741903352,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),88.33880733107515,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.37703790845072804,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,41.79065550588083,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),124.23279420738001,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,197.4866631100387,NA,NA,NA,NA,,50,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),782.6015651858294,18.051840968015025,43.35300574453731,82.41519075929328,1.6691082392164287e-58,,50,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,95.76656505589045,30.345442712214915,3.15587964769885,52.294962114574645,0.0026541390779382438,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,item_id,sd__(Intercept),101.97910849233105,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__(Intercept),71.47246188843565,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,cor__(Intercept).X_i,-0.0965983459849358,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,subj_id,sd__X_i,36.07982035280615,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
ran_pars,Residual,sd__Observation,198.166185238644,NA,NA,NA,NA,,50,25,800,100,100,80,40,0.2,200,25
fixed,NA,(Intercept),829.7775096670847,40.88664024691476,20.294587783590224,23.362254436888854,2.4355984860127387e-16,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,X_i,130.44422476653972,69.78876769836582,1.869129217617554,19.979815371330517,0.07633560175003723,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,item_id,sd__(Intercept),143.3691714494858,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__(Intercept),67.6267969186011,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,cor__(Intercept).X_i,-1,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,subj_id,sd__X_i,11.382512342114659,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
ran_pars,Residual,sd__Observation,193.20611710194856,NA,NA,NA,NA,,10,10,800,100,100,80,40,0.2,200,10
fixed,NA,(Intercept),764.542966650842,37.8393920577978,20.204948469654067,14.3296386937061,6.207890280036811e-12,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,X_i,120.22101133052364,41.103722015650796,2.924820562107438,27.99971058838816,0.006759806434464891,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,item_id,sd__(Intercept),89.19071084939047,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__(Intercept),101.17573078044245,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,cor__(Intercept).X_i,0.9997647836001737,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,subj_id,sd__X_i,23.843027892382256,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
ran_pars,Residual,sd__Observation,207.12361865373893,NA,NA,NA,NA,,10,15,800,100,100,80,40,0.2,200,15
fixed,NA,(Intercept),799.1120656358296,33.257437350866695,24.028070990713438,16.570621699902933,2.5858780739944403e-14,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,X_i,72.0914926004884,44.43665681204735,1.6223428532306565,28.123842185055594,0.11588844912573835,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,item_id,sd__(Intercept),104.37147672339718,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__(Intercept),85.741146350452,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,cor__(Intercept).X_i,0.6644358242835423,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,subj_id,sd__X_i,70.07179054656932,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
ran_pars,Residual,sd__Observation,198.5624260148906,NA,NA,NA,NA,,10,20,800,100,100,80,40,0.2,200,20
fixed,NA,(Intercept),772.4191304181195,34.34087121549595,22.49270630238331,11.490481375233307,7.357576195343578e-11,,10,25,800,100,100,80,40,0.2,200,25
fixed,NA,X_i,44.682825877772466,32.40663712806734,1.3788171139507943,17.53897697997276,0.18528371945372168,,10,25,800,100,100,80,40,0.2,200,25
