"parameter","value","estimate","term","std.error","statistic","df","p.value"
"sigma",200,199.197913981709,NA,NA,NA,NA,NA
"beta_0",800,806.473532546626,"(Intercept)",15.6578015307768,51.5061792654245,113.637848665815,1.28162376046835e-80
"beta_1",50,20.8631949357021,"X_i",23.7079846053077,0.880007106594428,49.9654818196583,0.38306852861109
"omega_0",80,80.4915763887928,NA,NA,NA,NA,NA
"tau_0",100,103.757730522667,NA,NA,NA,NA,NA
"tau_1",40,34.6817021863344,NA,NA,NA,NA,NA
"rho",0.2,0.239327171490146,NA,NA,NA,NA,NA
"sigma",200,199.150758898719,NA,NA,NA,NA,NA
"beta_0",800,784.725731520026,"(Intercept)",13.5854015093911,57.7624246863499,131.115386159442,4.00657928145213e-95
"beta_1",50,27.4946253475376,"X_i",18.3746642948115,1.49633347888164,53.9807725232998,0.140391051042194
"omega_0",80,59.7133587261218,NA,NA,NA,NA,NA
"tau_0",100,102.711522903671,NA,NA,NA,NA,NA
"tau_1",40,46.2190747951316,NA,NA,NA,NA,NA
"rho",0.2,0.272649483766525,NA,NA,NA,NA,NA
"sigma",200,196.88652305798,NA,NA,NA,NA,NA
"beta_0",800,812.991203662139,"(Intercept)",16.2179820358882,50.1289989015342,102.260636143222,8.38748091351358e-74
"beta_1",50,34.4996511432373,"X_i",25.9355756657899,1.33020572158511,50.2745386345962,0.189453526064254
"omega_0",80,88.3439229298549,NA,NA,NA,NA,NA
"tau_0",100,99.4603809045542,NA,NA,NA,NA,NA
"tau_1",40,40.3199883898275,NA,NA,NA,NA,NA
"rho",0.2,0.164592277041517,NA,NA,NA,NA,NA
"sigma",200,200.07865012138,NA,NA,NA,NA,NA
"beta_0",800,815.213923429985,"(Intercept)",14.5116749369529,56.1764184335541,120.264644889947,3.68344251003898e-88
"beta_1",50,33.2856418253894,"X_i",21.3094487287081,1.56201327632408,51.6776028896999,0.124388585339284
"omega_0",80,71.128697388008,NA,NA,NA,NA,NA
"tau_0",100,100.763757044739,NA,NA,NA,NA,NA
"tau_1",40,42.2742907321368,NA,NA,NA,NA,NA
"rho",0.2,-0.387376484656217,NA,NA,NA,NA,NA
"sigma",200,198.362424564285,NA,NA,NA,NA,NA
"beta_0",800,786.4412699215,"(Intercept)",13.5481223920221,58.047989763113,111.094309033286,6.13967451306048e-85
"beta_1",50,37.6599054067504,"X_i",20.7388624890379,1.81590988544606,51.0063677585195,0.0752639975948836
"omega_0",80,69.159857822301,NA,NA,NA,NA,NA
"tau_0",100,89.2029522342372,NA,NA,NA,NA,NA
"tau_1",40,37.6571419978945,NA,NA,NA,NA,NA
"rho",0.2,0.430059180711383,NA,NA,NA,NA,NA
"sigma",200,203.939142836277,NA,NA,NA,NA,NA
"beta_0",800,787.827427450636,"(Intercept)",15.3965920389793,51.1689486515007,114.593267499229,9.05479701013095e-81
"beta_1",50,25.9430147791869,"X_i",23.0772434309252,1.12418170120013,49.2056900327648,0.266390407367025
"omega_0",80,78.4551036778238,NA,NA,NA,NA,NA
"tau_0",100,102.833891349428,NA,NA,NA,NA,NA
"tau_1",40,27.0764604663672,NA,NA,NA,NA,NA
"rho",0.2,0.418044483557726,NA,NA,NA,NA,NA
"sigma",200,202.520226793657,NA,NA,NA,NA,NA
"beta_0",800,808.527047722495,"(Intercept)",15.1340099525448,53.4245087889967,118.258120857058,1.19107398100863e-84
"beta_1",50,71.540732404935,"X_i",22.3605506765442,3.19941728805364,50.2237999341316,0.0023868410402792
"omega_0",80,75.4913910195804,NA,NA,NA,NA,NA
"tau_0",100,103.48432243544,NA,NA,NA,NA,NA
"tau_1",40,34.9304983936785,NA,NA,NA,NA,NA
"rho",0.2,0.256029566898856,NA,NA,NA,NA,NA
"sigma",200,199.614691131343,NA,NA,NA,NA,NA
"beta_0",800,819.723312799291,"(Intercept)",14.3921096386785,56.9564388667732,109.216849570293,4.7477293939681e-83
"beta_1",50,68.7473327294607,"X_i",22.6070213070174,3.04097261624295,53.4689652794015,0.00364803372941404
"omega_0",80,75.1222008583836,NA,NA,NA,NA,NA
"tau_0",100,93.0191004538324,NA,NA,NA,NA,NA
"tau_1",40,53.5240646238836,NA,NA,NA,NA,NA
"rho",0.2,0.139578291900334,NA,NA,NA,NA,NA
"sigma",200,196.728088019751,NA,NA,NA,NA,NA
"beta_0",800,819.742211654552,"(Intercept)",14.3259409421297,57.2208286328933,119.523794548605,1.05310326670004e-88
"beta_1",50,48.8071937754551,"X_i",20.8851907475229,2.33692832234458,49.8817843406555,0.0234992819327411
"omega_0",80,70.1661366279269,NA,NA,NA,NA,NA
"tau_0",100,99.2577723908377,NA,NA,NA,NA,NA
"tau_1",40,30.5697109087625,NA,NA,NA,NA,NA
"rho",0.2,0.287796913587463,NA,NA,NA,NA,NA
"sigma",200,203.049199600942,NA,NA,NA,NA,NA
"beta_0",800,804.291502338748,"(Intercept)",15.4447643851328,52.0753494377008,123.176139415713,9.56160520779379e-86
"beta_1",50,25.2243898962139,"X_i",22.0301590437808,1.1449935448076,48.8306201993327,0.257792957078573
"omega_0",80,74.8851866581519,NA,NA,NA,NA,NA
"tau_0",100,108.818298304297,NA,NA,NA,NA,NA
"tau_1",40,21.9586012280211,NA,NA,NA,NA,NA
"rho",0.2,0.125702019772807,NA,NA,NA,NA,NA
"sigma",200,199.63344956827,NA,NA,NA,NA,NA
"beta_0",800,815.01774581232,"(Intercept)",14.7041984207838,55.4275535795495,116.788440435932,1.01457789821082e-85
"beta_1",50,54.5135611662221,"X_i",21.6463828515033,2.51836815139931,48.3823032130843,0.0151498750955699
"omega_0",80,73.6253571455504,NA,NA,NA,NA,NA
"tau_0",100,99.8839751118922,NA,NA,NA,NA,NA
"tau_1",40,16.6865968035473,NA,NA,NA,NA,NA
"rho",0.2,0.828455895849241,NA,NA,NA,NA,NA
"sigma",200,200.393388863496,NA,NA,NA,NA,NA
"beta_0",800,813.574526537775,"(Intercept)",14.6943487073596,55.3664910735581,109.336085755699,8.17304317087332e-82
"beta_1",50,64.8146216015386,"X_i",22.6531803981892,2.86117094651838,49.821694718896,0.00615390950570167
"omega_0",80,76.7602548231058,NA,NA,NA,NA,NA
"tau_0",100,94.9799427728525,NA,NA,NA,NA,NA
"tau_1",40,32.1226206658598,NA,NA,NA,NA,NA
"rho",0.2,0.253873533709398,NA,NA,NA,NA,NA
"sigma",200,198.358945248117,NA,NA,NA,NA,NA
"beta_0",800,792.025172656936,"(Intercept)",14.5617113394569,54.3909403361705,127.36790120872,5.01066408450058e-90
"beta_1",50,45.9791713761169,"X_i",20.2837733371843,2.26679575894431,51.3802293262971,0.0276409639011114
"omega_0",80,67.3666135709944,NA,NA,NA,NA,NA
"tau_0",100,106.29639788509,NA,NA,NA,NA,NA
"tau_1",40,39.0060000427462,NA,NA,NA,NA,NA
"rho",0.2,0.0526311098268312,NA,NA,NA,NA,NA
"sigma",200,203.580237495687,NA,NA,NA,NA,NA
"beta_0",800,781.299727796536,"(Intercept)",16.7385239238216,46.6767399175876,120.033928120546,8.31373700126431e-79
"beta_1",50,64.8133382283894,"X_i",24.7279653628426,2.62105423059922,51.2927759705555,0.0115067207509753
"omega_0",80,83.4864884752078,NA,NA,NA,NA,NA
"tau_0",100,115.142246240809,NA,NA,NA,NA,NA
"tau_1",40,45.9009947252781,NA,NA,NA,NA,NA
"rho",0.2,0.0561755541674568,NA,NA,NA,NA,NA
"sigma",200,202.4961641135,NA,NA,NA,NA,NA
"beta_0",800,811.605562647921,"(Intercept)",14.8887398354978,54.5113670878234,118.088450236727,1.46800961251836e-85
"beta_1",50,34.2892570407241,"X_i",21.8404005818296,1.56999213051301,48.8142884821544,0.122877105446695
"omega_0",80,74.2115432754389,NA,NA,NA,NA,NA
"tau_0",100,101.78110211566,NA,NA,NA,NA,NA
"tau_1",40,21.6344908268853,NA,NA,NA,NA,NA
"rho",0.2,0.33616909329669,NA,NA,NA,NA,NA
"sigma",200,199.168060992493,NA,NA,NA,NA,NA
"beta_0",800,783.444687896005,"(Intercept)",14.7566184125784,53.0910718154915,120.206468160178,2.70107863773835e-85
"beta_1",50,32.3428008297786,"X_i",21.906054012787,1.47643207721936,53.4182948810902,0.145699063594143
"omega_0",80,72.6521845864916,NA,NA,NA,NA,NA
"tau_0",100,102.21639680868,NA,NA,NA,NA,NA
"tau_1",40,51.7414008077402,NA,NA,NA,NA,NA
"rho",0.2,0.34416571163962,NA,NA,NA,NA,NA
"sigma",200,196.329706172337,NA,NA,NA,NA,NA
"beta_0",800,771.953662901404,"(Intercept)",15.0763325501556,51.203013752402,129.219639791688,1.1059407927003e-87
"beta_1",50,47.5106593732394,"X_i",20.6911541875946,2.29618217246307,50.2323112897938,0.025873292278252
"omega_0",80,69.4506405382724,NA,NA,NA,NA,NA
"tau_0",100,110.873686453804,NA,NA,NA,NA,NA
"tau_1",40,32.6490779005269,NA,NA,NA,NA,NA
"rho",0.2,0.150145813624982,NA,NA,NA,NA,NA
"sigma",200,198.723806585961,NA,NA,NA,NA,NA
"beta_0",800,784.072096954436,"(Intercept)",15.1947236372117,51.6016030087085,85.713876552663,2.49355424561933e-66
"beta_1",50,52.757009355093,"X_i",25.757979828821,2.04818117358965,48.4714464924175,0.0459793346049268
"omega_0",80,88.6081239135441,NA,NA,NA,NA,NA
"tau_0",100,81.1994128334513,NA,NA,NA,NA,NA
"tau_1",40,19.2062619917968,NA,NA,NA,NA,NA
"rho",0.2,0.0479254078209629,NA,NA,NA,NA,NA
"sigma",200,198.97471568915,NA,NA,NA,NA,NA
"beta_0",800,796.090700431526,"(Intercept)",12.8634085815058,61.8880054526211,100.294905398061,1.02990971443968e-81
"beta_1",50,95.907389136965,"X_i",20.7498983129385,4.62206550078187,51.4859602777969,2.58305046777431e-05
"omega_0",80,69.1029391503562,NA,NA,NA,NA,NA
"tau_0",100,78.6670325485292,NA,NA,NA,NA,NA
"tau_1",40,40.2855297321252,NA,NA,NA,NA,NA
"rho",0.2,0.598433220879681,NA,NA,NA,NA,NA
"sigma",200,200.971841939051,NA,NA,NA,NA,NA
"beta_0",800,835.969998706724,"(Intercept)",13.8706010599426,60.269197787034,113.067321991768,8.71550321775154e-88
"beta_1",50,81.0353569756947,"X_i",21.3569465495145,3.79433252725619,53.7153439312895,0.000377705979213615
"omega_0",80,70.4732872360083,NA,NA,NA,NA,NA
"tau_0",100,92.2441948970754,NA,NA,NA,NA,NA
"tau_1",40,51.8695773560333,NA,NA,NA,NA,NA
"rho",0.2,0.212254984736832,NA,NA,NA,NA,NA
"sigma",200,199.674417051723,NA,NA,NA,NA,NA
"beta_0",800,804.90043079854,"(Intercept)",16.0404991129555,50.1792634462629,95.1510147741445,2.95456481716602e-70
"beta_1",50,11.6614778849443,"X_i",26.3925224291943,0.441847796709451,49.9985741185004,0.660504589819325
"omega_0",80,90.1663008644175,NA,NA,NA,NA,NA
"tau_0",100,93.2014787971202,NA,NA,NA,NA,NA
"tau_1",40,38.5167742722734,NA,NA,NA,NA,NA
"rho",0.2,0.206373713428881,NA,NA,NA,NA,NA
"sigma",200,197.904257932378,NA,NA,NA,NA,NA
"beta_0",800,780.301529970624,"(Intercept)",16.1388149300286,48.34936972471,110.616136345169,3.1421100792933e-76
"beta_1",50,21.4911467197371,"X_i",24.9101505168592,0.862746562096919,50.6611436046185,0.39234270983764
"omega_0",80,84.5030606958014,NA,NA,NA,NA,NA
"tau_0",100,104.741836641388,NA,NA,NA,NA,NA
"tau_1",40,41.8381442111062,NA,NA,NA,NA,NA
"rho",0.2,0.402919641232467,NA,NA,NA,NA,NA
"sigma",200,199.216949284301,NA,NA,NA,NA,NA
"beta_0",800,806.669112174898,"(Intercept)",15.036908739694,53.6459405413212,108.737365426684,4.62274184660403e-80
"beta_1",50,40.04427618597,"X_i",23.4937007537597,1.70446864058068,51.7971705992695,0.0942858202701026
"omega_0",80,78.8775539505017,NA,NA,NA,NA,NA
"tau_0",100,96.7536172737914,NA,NA,NA,NA,NA
"tau_1",40,46.872140495311,NA,NA,NA,NA,NA
"rho",0.2,0.242212757332414,NA,NA,NA,NA,NA
"sigma",200,200.781343082322,NA,NA,NA,NA,NA
"beta_0",800,807.47799074298,"(Intercept)",16.4935557049307,48.9571809250074,126.348710695529,5.14099556639552e-84
"beta_1",50,49.8369973506802,"X_i",23.4134609165978,2.12856175036262,51.0346186242971,0.0381391827777062
"omega_0",80,78.9680246498092,NA,NA,NA,NA,NA
"tau_0",100,118.075710409316,NA,NA,NA,NA,NA
"tau_1",40,42.0898663255213,NA,NA,NA,NA,NA
"rho",0.2,-0.115491215276622,NA,NA,NA,NA,NA
"sigma",200,198.741887421166,NA,NA,NA,NA,NA
"beta_0",800,780.378999089527,"(Intercept)",15.2245772370804,51.2578436128175,95.080772740296,4.56351929725623e-71
"beta_1",50,58.4059327012191,"X_i",25.1000883889673,2.3269213954996,50.5706652214293,0.0240131417717253
"omega_0",80,85.1462993283268,NA,NA,NA,NA,NA
"tau_0",100,88.653118021254,NA,NA,NA,NA,NA
"tau_1",40,41.519203193517,NA,NA,NA,NA,NA
"rho",0.2,0.179797072272722,NA,NA,NA,NA,NA
"sigma",200,202.43706321651,NA,NA,NA,NA,NA
"beta_0",800,805.505287549444,"(Intercept)",16.7550437581014,48.0753914569734,127.356766182197,1.64741450708243e-83
"beta_1",50,40.6380381011179,"X_i",23.399310889855,1.73671943983346,49.1362118606593,0.0887029112945793
"omega_0",80,79.713857368892,NA,NA,NA,NA,NA
"tau_0",100,120.672986452728,NA,NA,NA,NA,NA
"tau_1",40,26.6093426324323,NA,NA,NA,NA,NA
"rho",0.2,0.4707224012868,NA,NA,NA,NA,NA
"sigma",200,200.322410243861,NA,NA,NA,NA,NA
"beta_0",800,791.862485053001,"(Intercept)",15.4546980493782,51.2376548880461,106.351070675427,8.61717682912877e-77
"beta_1",50,59.5365594087453,"X_i",24.3084281599425,2.44921469282225,50.8434664553699,0.0178033360669899
"omega_0",80,82.1741775065808,NA,NA,NA,NA,NA
"tau_0",100,97.7689993905855,NA,NA,NA,NA,NA
"tau_1",40,42.2610956919628,NA,NA,NA,NA,NA
"rho",0.2,0.229755139183622,NA,NA,NA,NA,NA
"sigma",200,202.58344455329,NA,NA,NA,NA,NA
"beta_0",800,791.650384852664,"(Intercept)",17.4886837411524,45.2664360891746,120.13578839907,2.45800505503603e-77
"beta_1",50,55.2172568529436,"X_i",25.809904430723,2.13938246075856,50.8268498228013,0.0372294640439334
"omega_0",80,87.5811499963059,NA,NA,NA,NA,NA
"tau_0",100,120.114113410199,NA,NA,NA,NA,NA
"tau_1",40,44.5319439768348,NA,NA,NA,NA,NA
"rho",0.2,0.170406103618722,NA,NA,NA,NA,NA
"sigma",200,202.12496012783,NA,NA,NA,NA,NA
"beta_0",800,816.072157187726,"(Intercept)",16.4511808649247,49.6056887276501,118.067553900108,6.48430220126605e-81
"beta_1",50,52.8650653580675,"X_i",24.6855049042912,2.14154280267032,52.2704740584889,0.0369112824469334
"omega_0",80,82.972221826118,NA,NA,NA,NA,NA
"tau_0",100,111.809705734575,NA,NA,NA,NA,NA
"tau_1",40,51.8316089236168,NA,NA,NA,NA,NA
"rho",0.2,0.324980134571378,NA,NA,NA,NA,NA
"sigma",200,199.241775121024,NA,NA,NA,NA,NA
"beta_0",800,804.507680534903,"(Intercept)",14.8412332235204,54.2076031296319,99.3902712030852,1.26151137451021e-75
"beta_1",50,36.1872467937125,"X_i",24.3711101586568,1.48484195254678,53.5360645931117,0.143450424252291
"omega_0",80,81.1686766803379,NA,NA,NA,NA,NA
"tau_0",100,89.5266873462926,NA,NA,NA,NA,NA
"tau_1",40,57.8820402834061,NA,NA,NA,NA,NA
"rho",0.2,0.427110752032804,NA,NA,NA,NA,NA
"sigma",200,204.265080742917,NA,NA,NA,NA,NA
"beta_0",800,783.205695890271,"(Intercept)",16.2895484960799,48.0802580917911,98.8530069759133,2.24557639374229e-70
"beta_1",50,84.7461000296699,"X_i",26.4212644617314,3.20749599824854,50.1793863298164,0.00233301708404786
"omega_0",80,90.1520071274869,NA,NA,NA,NA,NA
"tau_0",100,97.398860296179,NA,NA,NA,NA,NA
"tau_1",40,40.1835468965345,NA,NA,NA,NA,NA
"rho",0.2,0.295983541155082,NA,NA,NA,NA,NA
"sigma",200,199.202441675664,NA,NA,NA,NA,NA
"beta_0",800,799.42178030621,"(Intercept)",16.5582189213156,48.279454698905,97.8397804086552,4.75993133126423e-70
"beta_1",50,34.9690119363158,"X_i",26.9535101539535,1.29738248326764,50.0514275719226,0.200447825534128
"omega_0",80,92.0512890309149,NA,NA,NA,NA,NA
"tau_0",100,98.2439311654437,NA,NA,NA,NA,NA
"tau_1",40,39.8347268948769,NA,NA,NA,NA,NA
"rho",0.2,0.316062571041477,NA,NA,NA,NA,NA
"sigma",200,202.32544937181,NA,NA,NA,NA,NA
"beta_0",800,804.892927365963,"(Intercept)",15.2423979890673,52.8061875790985,102.873240601463,2.40454770644126e-76
"beta_1",50,58.6731198303672,"X_i",24.3596572989984,2.40861844278818,50.9206407350633,0.0196705272870007
"omega_0",80,82.4048620519203,NA,NA,NA,NA,NA
"tau_0",100,94.1110754419507,NA,NA,NA,NA,NA
"tau_1",40,42.8321126375586,NA,NA,NA,NA,NA
"rho",0.2,0.20767804273944,NA,NA,NA,NA,NA
"sigma",200,199.380609046857,NA,NA,NA,NA,NA
"beta_0",800,810.688559005371,"(Intercept)",15.6813816065537,51.6975212609176,103.161529995732,1.40741766451656e-75
"beta_1",50,54.6937488596616,"X_i",24.849711047841,2.20098128120542,49.436880830694,0.032436414829525
"omega_0",80,84.808426527221,NA,NA,NA,NA,NA
"tau_0",100,96.9385975400659,NA,NA,NA,NA,NA
"tau_1",40,31.2552243974955,NA,NA,NA,NA,NA
"rho",0.2,-0.0511557394437965,NA,NA,NA,NA,NA
"sigma",200,201.065013857692,NA,NA,NA,NA,NA
"beta_0",800,778.917842036785,"(Intercept)",13.9594833927144,55.7984719150359,89.9544226030958,1.39153490545189e-71
"beta_1",50,47.5004956850817,"X_i",23.4349710855186,2.02690651982217,50.1983572019718,0.0479996339223636
"omega_0",80,79.3755206986213,NA,NA,NA,NA,NA
"tau_0",100,78.0004162067446,NA,NA,NA,NA,NA
"tau_1",40,36.1825379849132,NA,NA,NA,NA,NA
"rho",0.2,0.0695468075491501,NA,NA,NA,NA,NA
"sigma",200,200.213156206912,NA,NA,NA,NA,NA
"beta_0",800,798.160142500571,"(Intercept)",14.5371337722236,54.9049183289233,117.875916851005,8.2981504569358e-86
"beta_1",50,86.873355810174,"X_i",21.864470485249,3.97326593702709,53.8312868450991,0.000212344287084283
"omega_0",80,72.184781493383,NA,NA,NA,NA,NA
"tau_0",100,99.4884435165308,NA,NA,NA,NA,NA
"tau_1",40,53.5350839056235,NA,NA,NA,NA,NA
"rho",0.2,0.146845447319829,NA,NA,NA,NA,NA
"sigma",200,201.691606086787,NA,NA,NA,NA,NA
"beta_0",800,806.386626438499,"(Intercept)",13.4577555221857,59.9198451115519,106.388622619974,8.41570035141823e-84
"beta_1",50,63.3486118701797,"X_i",21.1225723564124,2.99909550793647,51.3383647054065,0.00416872169861759
"omega_0",80,70.4925514934847,NA,NA,NA,NA,NA
"tau_0",100,85.7863957207819,NA,NA,NA,NA,NA
"tau_1",40,40.1130350418574,NA,NA,NA,NA,NA
"rho",0.2,0.14884358432625,NA,NA,NA,NA,NA
"sigma",200,201.669661402941,NA,NA,NA,NA,NA
"beta_0",800,793.408258009903,"(Intercept)",13.8396645220631,57.3285759018982,117.034467746024,1.68675682270095e-87
"beta_1",50,29.0428295461124,"X_i",20.5138069250461,1.41576985940396,50.4451443014519,0.162987742502358
"omega_0",80,68.716911170631,NA,NA,NA,NA,NA
"tau_0",100,94.4423632876958,NA,NA,NA,NA,NA
"tau_1",40,33.8310767780684,NA,NA,NA,NA,NA
"rho",0.2,0.526977039158165,NA,NA,NA,NA,NA
"sigma",200,198.776716857923,NA,NA,NA,NA,NA
"beta_0",800,777.024149373955,"(Intercept)",15.251574443247,50.947143343486,97.0884180898139,7.32417500267772e-72
"beta_1",50,64.0912800118489,"X_i",24.7503415420451,2.58951093272683,49.029761629839,0.0126180688493341
"omega_0",80,84.7627619564322,NA,NA,NA,NA,NA
"tau_0",100,90.1313895840056,NA,NA,NA,NA,NA
"tau_1",40,26.6158035570433,NA,NA,NA,NA,NA
"rho",0.2,-0.0783892060678678,NA,NA,NA,NA,NA
"sigma",200,195.950667577482,NA,NA,NA,NA,NA
"beta_0",800,795.243767861176,"(Intercept)",15.4016829614585,51.633563023678,113.766264894246,8.4758140746819e-81
"beta_1",50,59.7163691217791,"X_i",23.4279159250385,2.54894073006116,51.2614855565037,0.0138405301331237
"omega_0",80,78.8015538982955,NA,NA,NA,NA,NA
"tau_0",100,102.337154124359,NA,NA,NA,NA,NA
"tau_1",40,43.5150743771954,NA,NA,NA,NA,NA
"rho",0.2,0.299999136395167,NA,NA,NA,NA,NA
"sigma",200,203.58301705735,NA,NA,NA,NA,NA
"beta_0",800,783.16890425879,"(Intercept)",16.1273407617567,48.561564849919,119.643289030661,1.36774487085399e-80
"beta_1",50,88.6851217349647,"X_i",24.1329419843165,3.6748574538736,53.6308387181902,0.000550847386032493
"omega_0",80,80.4019608944187,NA,NA,NA,NA,NA
"tau_0",100,110.824130778971,NA,NA,NA,NA,NA
"tau_1",40,57.718218225917,NA,NA,NA,NA,NA
"rho",0.2,0.457693558673051,NA,NA,NA,NA,NA
"sigma",200,199.77154581312,NA,NA,NA,NA,NA
"beta_0",800,816.220436927122,"(Intercept)",15.2271306753713,53.6030362074253,103.79015332504,1.80451228473748e-77
"beta_1",50,-1.38541197833978,"X_i",24.285989358555,-0.0570457294486032,51.3361000145646,0.954730228971622
"omega_0",80,81.9357959212967,NA,NA,NA,NA,NA
"tau_0",100,94.646421800983,NA,NA,NA,NA,NA
"tau_1",40,45.4588287284481,NA,NA,NA,NA,NA
"rho",0.2,0.197863366311944,NA,NA,NA,NA,NA
"sigma",200,200.206942217761,NA,NA,NA,NA,NA
"beta_0",800,820.544148759935,"(Intercept)",16.9265088557067,48.4768687834462,117.195536419099,2.16215607720803e-79
"beta_1",50,44.1531515624917,"X_i",25.137322567842,1.75647790027473,49.3193016277177,0.0852145077584088
"omega_0",80,85.8376167669234,NA,NA,NA,NA,NA
"tau_0",100,114.385260081827,NA,NA,NA,NA,NA
"tau_1",40,30.3606433888461,NA,NA,NA,NA,NA
"rho",0.2,0.634239398798292,NA,NA,NA,NA,NA
"sigma",200,203.775559844196,NA,NA,NA,NA,NA
"beta_0",800,814.772329004348,"(Intercept)",16.1603943857477,50.4178493145514,123.664248810954,2.56193236612752e-84
"beta_1",50,6.99610274690325,"X_i",23.4871044488709,0.29786995506973,52.4496231913431,0.766979169704972
"omega_0",80,78.6363783121036,NA,NA,NA,NA,NA
"tau_0",100,113.841316933405,NA,NA,NA,NA,NA
"tau_1",40,50.402883078047,NA,NA,NA,NA,NA
"rho",0.2,0.137462454716734,NA,NA,NA,NA,NA
"sigma",200,198.573568365598,NA,NA,NA,NA,NA
"beta_0",800,773.446483895117,"(Intercept)",15.7749865380625,49.0299298848159,93.7418856221816,1.26945268865261e-68
"beta_1",50,84.1378179529822,"X_i",26.0526209264855,3.2295337267755,49.6712601067469,0.00220065573526745
"omega_0",80,89.0674498178092,NA,NA,NA,NA,NA
"tau_0",100,90.6755232560328,NA,NA,NA,NA,NA
"tau_1",40,34.9575124190536,NA,NA,NA,NA,NA
"rho",0.2,0.206715341380086,NA,NA,NA,NA,NA
"sigma",200,199.618169984048,NA,NA,NA,NA,NA
"beta_0",800,800.129135771891,"(Intercept)",16.8048499221156,47.6129890763798,97.622228297391,2.23907800115205e-69
"beta_1",50,46.187413536171,"X_i",27.1800771221235,1.6993113495832,48.6133110542309,0.0956520134060935
"omega_0",80,93.5810196343173,NA,NA,NA,NA,NA
"tau_0",100,99.4996861980083,NA,NA,NA,NA,NA
"tau_1",40,22.6983939639156,NA,NA,NA,NA,NA
"rho",0.2,0.168128344046034,NA,NA,NA,NA,NA
"sigma",200,203.13739997637,NA,NA,NA,NA,NA
"beta_0",800,804.583985326574,"(Intercept)",14.0644594511486,57.2068900423235,114.446241191908,4.90953952978579e-86
"beta_1",50,71.4304596511974,"X_i",21.1659499842796,3.37478165186302,50.6601564679439,0.00142421290977156
"omega_0",80,70.8929269880135,NA,NA,NA,NA,NA
"tau_0",100,94.3866522383544,NA,NA,NA,NA,NA
"tau_1",40,36.2145895402338,NA,NA,NA,NA,NA
"rho",0.2,0.218847264899052,NA,NA,NA,NA,NA
"sigma",200,202.539829500171,NA,NA,NA,NA,NA
