"parameter","value","estimate","term","std.error","statistic","df","p.value"
"beta_1",50,47.8716407278577,"X_i",21.2793047732451,2.24968067509647,50.0477759023359,0.0288981848681398
"omega_0",80,71.5237249756139,NA,NA,NA,NA,NA
"tau_0",100,102.472641861143,NA,NA,NA,NA,NA
"tau_1",40,32.237820868105,NA,NA,NA,NA,NA
"rho",0.2,0.672013753760284,NA,NA,NA,NA,NA
"sigma",200,203.606796112035,NA,NA,NA,NA,NA
"beta_0",800,817.869435766057,"(Intercept)",14.0896456272129,58.0475518977151,99.7972143746743,1.01740728892143e-78
"beta_1",50,50.6449391389593,"X_i",22.6073107449714,2.24020184046988,49.4896720288883,0.0295997902903518
"omega_0",80,76.7002268239829,NA,NA,NA,NA,NA
"tau_0",100,85.3718834688313,NA,NA,NA,NA,NA
"tau_1",40,29.2444575920893,NA,NA,NA,NA,NA
"rho",0.2,0.11981193981739,NA,NA,NA,NA,NA
"sigma",200,199.700189449997,NA,NA,NA,NA,NA
"beta_0",800,772.873722770495,"(Intercept)",14.3790821861227,53.7498647525918,126.560216826889,5.2175847921525e-89
"beta_1",50,41.8147657589885,"X_i",20.1175235688384,2.0785245070501,51.0584799877862,0.0427048520375682
"omega_0",80,66.935646923615,NA,NA,NA,NA,NA
"tau_0",100,104.39971660542,NA,NA,NA,NA,NA
"tau_1",40,36.9523606464628,NA,NA,NA,NA,NA
"rho",0.2,0.210445308535082,NA,NA,NA,NA,NA
"sigma",200,201.957664631544,NA,NA,NA,NA,NA
"beta_0",800,826.892817168546,"(Intercept)",14.5520041303836,56.8232945620218,121.594750934907,2.025659239928e-89
"beta_1",50,27.3127250906862,"X_i",21.0090348215328,1.30004663815839,50.0341016708607,0.199542231805803
"omega_0",80,70.6483261949352,NA,NA,NA,NA,NA
"tau_0",100,101.942460887688,NA,NA,NA,NA,NA
"tau_1",40,31.66521839992,NA,NA,NA,NA,NA
"rho",0.2,0.500557030581965,NA,NA,NA,NA,NA
"sigma",200,200.18055611621,NA,NA,NA,NA,NA
"beta_0",800,788.611140189079,"(Intercept)",17.0396902556091,46.2808377593298,106.137869216382,3.40609270973276e-72
"beta_1",50,45.6041801363803,"X_i",26.8788592166695,1.69665608829477,50.7277100526063,0.095890556158535
"omega_0",80,91.4560284358365,NA,NA,NA,NA,NA
"tau_0",100,107.189718864595,NA,NA,NA,NA,NA
"tau_1",40,45.4470350759871,NA,NA,NA,NA,NA
"rho",0.2,0.438608412422568,NA,NA,NA,NA,NA
"sigma",200,202.121039964289,NA,NA,NA,NA,NA
"beta_0",800,779.682991016173,"(Intercept)",17.2047615906395,45.3178608089734,103.308478091102,5.43579216112475e-70
